======================================================================
|  Staff ID     |  Staff Name          | LogIn date | LogIn | LogOut |
======================================================================
| 21WMD01687    | Gan Zhi Ken          | 10/03/2022 | 00:34 |  00:34 |
| 21WMD01688    | LEE LING             | 10/03/2022 | 00:35 |  00:35 |
| 21WMD01689    | CHRIS NG             | 10/03/2022 | 20:43 |  20:46 |
| 21WMD01690    | ABU                  | 10/03/2022 | 20:55 |  20:55 |
| 21WOA45687    | ADAM                 | 10/03/2022 | 20:56 |  20:57 |
| 21WMD01691    | EMILY LOH            | 10/03/2022 | 21:02 |  21:06 |
| 21WMD01692    | PETER LIM            | 10/03/2022 | 21:41 |  21:41 |
| 21WMD01689    | CHRIS NG             | 10/03/2022 | 21:42 |  21:43 |
| 21WMD01688    | LEE LING             | 10/03/2022 | 21:50 |  21:52 |
| 21WMD07711    | LIM YI JIE           | 10/03/2022 | 21:52 |  21:53 |
| 21WMD01693    | JOHNNY LEE           | 10/03/2022 | 22:04 |  22:05 |
| 21WMD01690    | Abu                  | 10/03/2022 | 22:11 |  22:12 |
| 21WMD01693    | JOHNNY LEE           | 10/03/2022 | 22:13 |  22:15 |
| 21WMD01689    | CHRIS NG             | 10/03/2022 | 23:22 |  23:22 |
| 21WMD01690    | Abu                  | 10/03/2022 | 23:28 |  23:30 |
| 21WMD01688    | LEE LING             | 12/03/2022 | 11:06 |  11:08 |
| 21WMD01687    | Gan Zhi Ken          | 12/03/2022 | 11:10 |  11:10 |
| 21WMD01691    | EMILY LOH            | 12/03/2022 | 11:11 |  11:13 |
| 21WMD01687    | Gan Zhi Ken          | 12/03/2022 | 11:13 |  11:15 |
| 21WMD01688    | LEE LING             | 12/03/2022 | 11:31 |  11:32 |
| 21WOA45687    | ADAM                 | 12/03/2022 | 11:34 |  11:39 |
| 21WBD09183    | SOH JIA CHIN         | 12/03/2022 | 15:48 |  15:49 |
| 21WMD01689    | CHRIS NG             | 13/03/2022 | 01:04 |  01:05 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 01:46 |  01:47 |
| 21WMD07711    | LIM YI JIE           | 13/03/2022 | 01:52 |  01:55 |
| 21WWW01687    | ALI                  | 13/03/2022 | 01:56 |  01:56 |
| 21WBD09183    | SOH JIA CHIN         | 13/03/2022 | 02:01 |  02:03 |
| 21WMD01689    | CHRIS NG             | 13/03/2022 | 02:03 |  02:05 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 02:06 |  02:07 |
